pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h9---w5	1	6	6	2	0	1	0	0	1	0	0	0	0
h9---w6	2	2	1	3	1	0	0	0	0	0	0	0	0
h9---w7	1	7	3	1	2	1	0	0	0	0	0	0	0
h9---w8	3	3	5	0	0	1	0	1	0	0	0	0	0
h9---w9	0	2	2	3	0	0	0	0	0	0	0	0	0
l0.5---e2	0	2	0	0	0	0	0	0	0	0	0	0	0
l0.5---h10	0	1	1	0	0	0	0	0	0	0	0	0	0
l0.5---h11	0	0	1	0	0	0	0	0	0	0	0	0	0
l0.5---h5	0	1	0	2	0	0	0	0	0	0	0	0	0
l0.5---h6	3	11	9	8	2	3	0	0	0	0	0	0	0
l0.5---h7	7	27	24	21	7	5	2	0	0	0	0	0	0
l0.5---h8	19	25	19	23	10	4	1	2	1	0	0	0	0
l0.5---h9	9	11	7	5	1	3	0	0	0	0	0	0	0
l0.5---s0.5	34	39	27	2	1	0	0	0	0	0	0	0	0
l0.5---s1	2	0	2	2	0	0	0	0	0	0	0	0	0
l0.5---s4	10	3	6	0	0	0	1	0	0	0	0	0	0
l0.5---s8	5	8	5	1	0	0	0	0	0	0	0	0	0
l0.5---w0.5	10	25	13	10	2	2	2	0	0	0	0	0	0
l0.5---w11	3	5	3	2	2	0	1	1	0	0	0	0	1
l0.5---w2	3	4	8	4	1	1	2	0	0	0	0	0	0
l0.5---w3	9	22	17	5	1	4	1	1	1	1	0	0	0
l0.5---w4	12	10	13	15	5	9	1	0	1	0	0	0	0
l0.5---w5	3	9	5	2	2	0	1	0	0	0	0	0	0
l1---e1	0	1	0	1	1	0	0	0	0	0	0	0	0
l1---e2	0	2	0	0	0	0	0	0	0	0	0	0	0
l1---h10	0	4	1	3	0	0	0	0	1	0	0	0	0
l1---h11	0	0	0	1	0	0	0	0	0	0	0	0	0
l1---h5	1	5	3	5	0	1	0	1	1	0	0	0	0
l1---h6	15	19	21	13	6	1	1	1	0	1	0	0	0
l1---h7	31	66	55	39	23	9	5	1	0	1	0	0	0
l1---h8	28	56	62	36	19	13	6	1	1	1	1	0	0
l1---h9	9	26	22	17	10	1	0	0	0	0	0	0	0
l1---s0.5	50	88	30	11	3	1	1	0	0	0	0	0	0
l1---s1	11	14	8	0	3	0	0	1	0	0	0	0	0
l1---s2	0	1	0	0	0	0	0	0	0	0	0	0	0
l1---s3	4	11	3	0	1	0	0	0	0	0	0	0	0
l1---w0.5	8	8	12	6	4	3	0	0	0	0	0	0	0
l1---w1	23	37	31	17	11	7	3	1	0	0	0	0	0
l1---w13	3	4	5	0	2	0	1	0	0	0	0	0	0
l1---w2	5	17	16	7	2	0	0	1	0	0	0	0	0
l1---w3	41	73	32	21	7	7	4	1	0	0	0	0	0
l1---w4	78	130	111	79	43	28	13	6	1	0	1	1	1
l1---w5	74	91	78	58	42	14	10	4	1	1	1	0	0
l1---w6	40	69	43	22	12	7	3	2	1	0	0	0	0
l1---w7	8	16	8	0	0	0	0	0	0	0	0	0	0
l1---w8	9	16	5	0	0	0	0	0	0	0	0	0	0
l1---w9	4	8	4	5	0	2	0	0	0	0	0	0	0
l10---h10	0	1	0	0	0	0	0	0	0	0	0	0	0
l10---h6	1	0	1	0	0	0	0	0	0	0	0	0	0
l10---h7	1	2	1	0	0	0	0	0	0	0	0	0	0
l11---h7	1	0	0	0	0	0	0	0	0	0	0	0	0
l11---h8	0	0	1	0	0	0	0	0	0	0	0	0	0
l12---h10	0	0	1	0	0	0	0	0	0	0	0	0	0
l12---h6	0	0	1	0	0	0	0	0	0	0	0	0	0
l12---h7	1	2	3	0	0	0	1	0	0	0	0	0	0
l12---h8	1	5	1	2	0	0	0	0	0	0	0	0	0
l12---h9	0	1	3	0	0	0	1	0	0	0	0	0	0
l12---s0.5	0	1	2	0	0	0	0	0	0	0	0	0	0
l12---w0.5	2	10	3	2	3	0	0	0	0	0	0	0	0
l13---h6	0	0	0	1	0	0	0	0	0	0	0	0	0
l13---h7	0	1	1	0	0	0	0	0	0	0	0	0	0
l2---h0.5	0	5	5	3	2	0	0	1	1	0	0	0	0
l2---h10	4	6	5	8	4	0	1	0	0	0	0	0	0
l2---h4	0	1	0	0	0	0	0	0	0	0	0	0	0
l2---h5	1	8	7	2	2	1	0	0	0	1	0	1	0
l2---h6	16	48	34	19	9	3	0	2	1	0	1	0	0
l2---h7	29	83	70	47	26	12	10	1	3	0	0	0	0
l2---h8	30	76	62	44	21	12	9	3	2	1	0	0	0
l2---h9	11	28	24	13	13	7	2	2	1	0	0	0	0
l2---s0.5	6	14	1	1	0	0	0	0	0	0	0	0	0
l2---s1	9	13	11	1	2	1	0	0	0	0	0	0	0
l2---s4	0	1	0	0	0	0	0	0	0	0	0	0	0
l2---w0.5	19	38	25	3	5	2	2	0	0	0	0	0	0
l2---w1	22	57	32	22	8	6	1	0	1	1	0	0	0
l2---w2	7	15	7	3	7	1	1	0	0	0	0	0	0
l2---w4	34	52	23	14	7	4	1	0	0	2	1	0	0
l2---w5	23	70	41	27	16	12	5	1	1	0	0	0	0
l2---w6	10	18	8	6	4	3	1	0	1	0	0	0	0
l2---w7	2	5	4	1	0	1	0	0	0	0	0	0	0
l2---w8	5	9	5	3	1	1	0	1	0	1	0	0	0
l3---e3	0	3	0	1	0	0	0	0	0	0	0	0	0
l3---h10	5	4	5	3	0	0	0	0	0	0	0	0	0
